replies_count,retweets_count,likes_count,n_hashtag,tweet_count,volume,high_low_subs,open,label
14.0,29.0,135.0,31,11,624.731039,0.370000000000001,31.74,0
4.0,0.0,24.0,4,4,219.996263,0.4299999999999997,31.91,0
8.0,6.0,60.0,9,9,677.325629,0.5300000000000011,32.12,0
22.0,21.0,93.0,35,14,535.0199769999999,0.3399999999999963,32.07,0
1.0,3.0,10.0,1,1,32.889897999999995,0.5700000000000003,31.94,0
1.0,2.0,10.0,1,1,1257.949033,0.9499999999999957,32.28,0
4.0,2.0,4.0,23,3,542.952762,0.8200000000000003,33.11,0
0.0,0.0,0.0,0,0,567.118268,0.5400000000000063,32.53,0
1.0,1.0,2.0,18,1,47.627546,0.5199999999999996,32.3,0
1.0,0.0,2.0,1,1,14.558948000000001,0.29999999999999716,31.98,0
2.0,1.0,3.0,2,2,11.283463000000001,0.13999999999999702,32.07,0
2.0,2.0,7.0,4,2,23.822285,0.3299999999999983,32.06,0
0.0,0.0,0.0,0,0,3.5952839999999995,0.23999999999999488,32.27,0
3.0,20.0,55.0,2,2,0.18623900000000002,0.0799999999999983,32.09,0
3.0,14.0,44.0,32,3,211.88635699999998,0.2900000000000027,32.1,0
2.0,2.0,8.0,19,2,16.00991,0.32000000000000384,31.99,0
1.0,1.0,0.0,20,1,4.1734279999999995,0.0799999999999983,32.22,0
2.0,0.0,4.0,1,1,53.862671999999996,0.0899999999999963,32.19,0
3.0,0.0,4.0,9,2,293.900077,0.519999999999996,32.1,0
1.0,0.0,1.0,1,1,293.5462514,0.40000000000000213,31.88,0
4.0,1.0,4.0,4,4,14.883938,0.41999999999999815,31.71,1
7.0,2.0,11.0,4,4,183.12995800000002,1.5499999999999972,31.64,1
2.0,11.0,39.0,3,3,74.09313744,0.3999999999999986,30.32,1
2.0,0.0,2.0,2,2,100.034013,0.25,30.61,1
4.0,4.0,18.0,38,3,54.82186899999999,0.3999999999999986,30.47,1
9.0,7.0,44.0,27,10,17.37142273,0.3999999999999986,30.26,1
10.0,76.0,281.0,4,4,703.233459,0.21999999999999886,30.42,1
0.0,0.0,0.0,0,0,263.452495,0.20000000000000284,30.49,1
29.0,31.0,102.0,21,3,501.28099199999997,0.28000000000000114,30.69,1
0.0,0.0,0.0,0,0,0.280696,0.3099999999999987,30.95,1
0.0,0.0,0.0,0,0,159.322429,0.23000000000000043,30.77,1
2.0,1.0,0.0,1,1,57.683834999999995,0.23000000000000043,31.0,1
1.0,0.0,3.0,1,1,239.273578,0.5300000000000011,30.86,1
3.0,1.0,1.0,2,2,517.283503,0.1999999999999993,30.41,1
0.0,0.0,0.0,0,0,0.508185,0.08999999999999986,30.45,1
0.0,0.0,0.0,0,0,2.0030419999999998,0.14000000000000057,30.38,1
5.0,12.0,30.0,6,6,9.617863999999999,0.129999999999999,30.35,1
2.0,0.0,2.0,2,2,20.775,0.019999999999999574,30.41,1
1.0,0.0,1.0,2,1,86.694924,0.19000000000000128,30.39,1
5.0,20.0,63.0,21,4,269.139662,0.8200000000000003,30.35,1
5.0,0.0,28.0,1,1,375.292336,0.5500000000000007,31.12,1
